id;sk;en;
fancyweb;FancyWeb;FancyWeb;
title;Vita Amoris;Vita Amoris;

navigation.about-us;O nás;About Us;
navigation.about-doberman;O dobermanovi;About the Dobermann;
navigation.our-dog;Naša fenka;Our Female;
navigation.our-puppies;Naše šteniatka;Our Puppies;
navigation.contact;Kontakt;Contact;

cookieMessage;"Táto stránka používa súbory cookie. Kliknutím na tlačidlo "Povoliť" súhlasíte s ich používaním na uloženie zvoleného jazyka a na analýzu návštevnosti stránky.";"This website uses cookies. By clicking the "Allow" button, you agree to their use to save the selected language and to analyze site traffic.";
cookieAllow;Povoliť;Allow;
cookieDeny;Odmietnuť;Deny;
cookiePolicy;Zásady používania súborov cookie;Cookie Policy;

certificate.title;Náš certifikát;Our Certificate;

header.text;„Psia láska je najčistejšia vec. Jeho dôvera vo vás je totálna. Nesmiete ju zradiť.“;„The love of a dog is a pure thing. He gives you a trust which is total. You must not betray it.“;
header.author;Michel Houellebecq;Michel Houellebecq;

aboutUs.title1;Sme chovná stanica Vita Amoris;Vita Amoris Breeding Station;
aboutUs.subtitle1;... a všetko to začal Áron;.... and it all began with Aron;
aboutUs.text1;Keď sme s manželom doniesli domov šteniatko xdobermana zachráneného z osady, ani nás nenapadlo, ako veľmi zasiahne do nášho života. Zo šteniatka sa stal šikovný a múdry pes, tak trochu introvert. ;When my husband and I brought home a Doberman puppy rescued from a settlement, we had no idea how much it would affect our lives. The puppy grew up into a clever and wise dog, a bit of an introvert.
aboutUs.text2;Po čase sme začali uvažovať nad ďalším štvornohým spoločníkom.;After a while, we started thinking about getting another four-legged companion.;
aboutUs.text3;Ako inak, voľba padla na plemeno dobermana. Spustil sa kolotoč študovania vhodných chovných staníc. V čase zbierania informácií sme sa zoznámili s CHS European K9 training base. Dospeli sme k rozhodnutiu, že jeden z rodičov nášho šteniatka bude z tejto stanice.;Our choice, of course,  fell on the Dobermann breed. A great search for suitable breeding stations began. At the time of collecting information, we got acquainted with the CHS European K9 training base. We had decided that one of our puppy's parents would be from this station.
aboutUs.text4;Chceli sme fenku pracovnej povahy po rodičoch a povahou opakom nášho introverta.;We wanted an eager female dog with parents of the nature quite opposite to our introverted male.;
aboutUs.text5;Predstava sa naplnila, keď sme sa dozvedeli o očakávaní šteniatok z chovnej stanice Halit Paša zo spojenia Hera Halit Paša a Expert European K9 training base.;The dream came true once we learned about an expected delivery of puppies from the Halit Paša breeding station, born out of the connection between Hera Halit Paša and Expert European K9 training base.

aboutUs.title2;Legenda je naša životná láska (vita amoris);Legenda - the love of our life;
aboutUs.subtitle2;Do nášho života pribudla Legenda Halit Paša, ktorá nám zmenila život.;Legenda Halit Paša has entered our life and turned it upside down;
